Sites,Address,City,State,Zip,Site_Type,Program,Vendor,Running_Total,Cost,Value,Weight,Total_Pounds,6/30/22,7/31/22,8/30/22,9/31/2022,10/31/22,11/30/22,12/31/22,1/31/23,2/28/23,3/31/23,4/31/23,5/31/23,6/30/23,7/31/23,8/31/23,9/30/23,10/31/23,11/31/2023,12/31/23,Unnamed: 32,Average per Month,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,7/18/22,7/19/22,7/20/22,7/21/22,7/22/22,7/23/22,7/24/22,7/25/22,7/26/22,7/27/22,7/28/22,7/29/22,7/30/22,7/31/22.1,8/1/22,8/2/22,8/3/22,8/4/22,8/5/22,8/6/22,8/7/22,8/8/22,8/9/22,8/10/22,8/11/22,8/12/22,8/13/22,8/14/22,8/15/22,8/16/22,8/17/22,8/18/22,8/19/22,8/20/22,8/21/22,8/22/22,8/23/22,8/24/22,8/25/22,8/26/22,8/27/22,8/28/22,8/29/22,8/30/22.1,8/31/22,9/1/22,9/2/22,9/3/22,9/4/22,9/5/22,9/6/22,9/7/22,9/8/22,9/9/22,9/10/22,9/11/22,9/12/22,9/13/22,9/14/22,9/15/22,9/16/22,9/17/22,9/18/22,9/19/22,9/20/22,9/21/22,9/22/22,9/23/22,9/24/22,9/25/22,9/26/22,9/27/22,9/28/22,9/29/22,lat,lon
Stillmeadow Community Fellowship,5110 Frederick Ave,Baltimore,MD,21229.0,Community,Produce,Common Market,4210.526316,15.0,"$63,157.89",15.0,63157.89474,200.0,200.0,200.0,250.0,200.0,200.0,250.0,200.0,200.0,250.0,200.0,200.0,250.0,200.0,250.0,200.0,200.0,200.0,150.0,,211.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.2815258,-76.6996367
"The Door, Inc",219 N Chester St,Baltimore,MD,21231.0,Community,Produce,Common Market,8684.210526,15.0,"$130,263.16",15.0,130263.1579,350.0,400.0,500.0,400.0,400.0,500.0,500.0,500.0,400.0,400.0,400.0,500.0,400.0,400.0,500.0,400.0,500.0,400.0,400.0,,434.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.294913,-76.58735709999999
The Food Project,424 S Pulaski St,Baltimore,MD,21223.0,Community,Produce,Common Market,4315.789474,15.0,"$64,736.84",15.0,64736.84211,200.0,200.0,200.0,250.0,200.0,200.0,250.0,200.0,200.0,250.0,200.0,200.0,250.0,200.0,250.0,200.0,200.0,250.0,200.0,,216.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.2818422,-76.65056650000001
The Mix Church,1725 E Baltimore Street,Baltimore,MD,21231.0,Community,Produce,Common Market,4210.526316,15.0,"$63,157.89",15.0,63157.89474,200.0,200.0,250.0,200.0,200.0,250.0,150.0,200.0,200.0,250.0,200.0,250.0,200.0,200.0,250.0,200.0,200.0,250.0,150.0,,211.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.2913832,-76.59270149999999
The Well,4710 Pennington Ave,Baltimore,MD,21226.0,Community,Produce,Common Market,4105.263158,15.0,"$61,578.95",15.0,61578.94737,200.0,200.0,250.0,200.0,200.0,250.0,100.0,150.0,200.0,250.0,200.0,250.0,200.0,200.0,250.0,200.0,200.0,250.0,150.0,,205.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.223209,-76.5884197
Victorious Ministries,4609 York Rd,Baltimore,MD,21212.0,Community,Produce,Common Market,8631.578947,15.0,"$129,473.68",15.0,129473.6842,350.0,400.0,500.0,400.0,400.0,500.0,450.0,400.0,400.0,500.0,400.0,500.0,400.0,400.0,500.0,400.0,400.0,500.0,400.0,,432.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.344631,-76.6094088
We Our Us/Mack Lewis Boxing Gym,913 N Bond St,Baltimore,MD,21205.0,Community,Produce,Common Market,8368.421053,15.0,"$125,526.32",15.0,125526.3158,350.0,400.0,500.0,400.0,400.0,500.0,400.0,500.0,400.0,400.0,400.0,500.0,400.0,300.0,500.0,400.0,500.0,400.0,300.0,,418.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.3006878,-76.5965452
Westport Academy,2401 Nevada St,Baltimore,MD,21230.0,Community,Produce,Common Market,6405.882353,15.0,"$96,088.24",15.0,96088.23529,350.0,400.0,400.0,500.0,400.0,500.0,200.0,0.0,0.0,400.0,300.0,350.0,300.0,300.0,400.0,300.0,300.0,350.0,300.0,,356.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.2621537,-76.6375248
Zion Baptist Church ,1600 N Dallas St,Baltimore,MD,21213.0,Community,Produce,Common Market,4052.631579,15.0,"$60,789.47",15.0,60789.47368,50.0,150.0,250.0,150.0,200.0,300.0,150.0,200.0,200.0,250.0,200.0,250.0,200.0,200.0,250.0,200.0,200.0,250.0,200.0,,203.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.308945,-76.597712
Zion Hill Baptist Church,931 E Preston St,Baltimore,MD,21202.0,Community,Produce,Common Market,9526.315789,15.0,"$142,894.74",15.0,142894.7368,350.0,400.0,400.0,500.0,400.0,500.0,750.0,600.0,600.0,500.0,400.0,400.0,500.0,400.0,500.0,400.0,400.0,500.0,550.0,,476.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.3048243,-76.6037647
